model,n_sensitive,score2,score2_rate,full_engagement,partial_hedged,safety_refusal,ocr_failure,generic_caption_only
cogvlm2_east,40,0,0.0,0,8,14,0,18
cogvlm2_none,40,0,0.0,0,0,0,0,40
cogvlm2_west,40,3,0.075,3,6,5,0,26
deepseek_east,40,6,0.15,6,4,0,3,27
deepseek_none,40,1,0.025,1,2,0,0,37
deepseek_west,40,6,0.15,6,3,0,6,25
gemma3_12b_east,40,0,0.0,0,19,21,0,0
gemma3_12b_none,40,32,0.8,32,8,0,0,0
gemma3_12b_west,40,17,0.425,17,22,1,0,0
glm_east,40,0,0.0,0,28,12,0,0
glm_none,40,5,0.125,5,34,0,0,1
glm_west,40,1,0.025,1,39,0,0,0
granite_vision_east,40,0,0.0,0,0,7,31,2
granite_vision_none,40,0,0.0,0,0,7,32,1
granite_vision_west,40,0,0.0,0,0,7,32,1
internvl_east,40,0,0.0,0,14,26,0,0
internvl_none,40,3,0.075,3,17,1,0,19
internvl_west,40,2,0.05,2,30,6,0,2
llama32_vision_east,40,0,0.0,0,0,36,3,1
llama32_vision_none,40,0,0.0,0,1,6,24,9
llama32_vision_west,40,0,0.0,0,1,21,18,0
llava_7b_east,40,4,0.1,4,20,2,7,7
llava_7b_none,40,4,0.1,4,15,2,8,11
llava_7b_west,40,2,0.05,2,21,2,5,10
minicpm_v_east,40,17,0.425,17,12,1,0,10
minicpm_v_none,40,4,0.1,4,7,0,0,29
minicpm_v_west,40,8,0.2,8,14,0,0,18
molmo_east,40,1,0.025,1,18,14,0,7
molmo_none,40,8,0.2,8,19,1,0,12
molmo_west,40,2,0.05,2,12,13,3,10
phi_east,40,0,0.0,0,0,31,1,8
phi_none,40,0,0.0,0,0,14,0,26
phi_west,40,0,0.0,0,0,17,1,22
qwen2.5vl_3b_east,40,21,0.525,21,10,6,0,3
qwen2.5vl_3b_none,38,24,0.6316,24,7,3,0,4
qwen2.5vl_3b_west,40,26,0.65,26,6,4,0,4
