model,ocr_sim_mean,ocr_good_0_8,ocr_n,image_valid,image_errors,image_score2,image_score2_rate,image_full_engagement,image_partial_hedged,image_safety_refusal,image_ocr_failure,image_generic_caption_only,image_inference_error,text_valid,text_errors,text_score2,text_score2_rate,text_full_engagement,text_partial_hedged,text_safety_refusal,text_ocr_failure,text_generic_caption_only,text_inference_error,ocr_then_answer_valid,ocr_then_answer_errors,ocr_then_answer_score2,ocr_then_answer_score2_rate,ocr_then_answer_full_engagement,ocr_then_answer_partial_hedged,ocr_then_answer_safety_refusal,ocr_then_answer_ocr_failure,ocr_then_answer_generic_caption_only,ocr_then_answer_inference_error
gemma3_12b_east,0.9677,39,40,40,0,0,0.0,0,19,21,0,0,0,40,0,0,0.0,0,10,30,0,0,0,40,0,0,0.0,0,17,23,0,0,0
gemma3_12b_none,0.9844,40,40,40,0,32,0.8,32,8,0,0,0,0,40,0,5,0.125,5,34,1,0,0,0,40,0,36,0.9,36,4,0,0,0,0
gemma3_12b_west,0.9508,38,40,40,0,17,0.425,17,22,1,0,0,0,40,0,4,0.1,4,31,5,0,0,0,40,0,26,0.65,26,13,1,0,0,0
granite_vision_east,0.0271,0,40,40,0,0,0.0,0,0,7,31,2,0,40,0,25,0.625,25,5,10,0,0,0,40,0,0,0.0,0,0,0,32,8,0
granite_vision_none,0.0271,0,40,40,0,0,0.0,0,0,7,32,1,0,40,0,31,0.775,31,2,7,0,0,0,40,0,0,0.0,0,0,0,32,8,0
granite_vision_west,0.0271,0,40,40,0,0,0.0,0,0,7,32,1,0,40,0,33,0.825,33,1,6,0,0,0,40,0,0,0.0,0,0,0,32,8,0
llama32_vision_east,0.4995,11,40,40,0,0,0.0,0,0,36,3,1,0,40,0,5,0.125,5,1,34,0,0,0,40,0,0,0.0,0,0,9,16,15,0
llama32_vision_none,0.626,16,40,40,0,0,0.0,0,1,6,24,9,0,40,0,14,0.35,14,0,26,0,0,0,40,0,1,0.025,1,0,1,26,12,0
llama32_vision_west,0.4492,10,40,40,0,0,0.0,0,1,21,18,0,0,40,0,13,0.325,13,0,27,0,0,0,40,0,0,0.0,0,0,9,23,8,0
llava_7b_east,0.3607,4,40,40,0,4,0.1,4,20,2,7,7,0,40,0,10,0.25,10,9,21,0,0,0,40,0,3,0.075,3,7,0,10,20,0
llava_7b_none,0.2957,3,40,40,0,4,0.1,4,15,2,8,11,0,40,0,37,0.925,37,3,0,0,0,0,40,0,7,0.175,7,11,0,10,12,0
llava_7b_west,0.2561,0,40,40,0,2,0.05,2,21,2,5,10,0,40,0,29,0.725,29,10,1,0,0,0,40,0,4,0.1,4,7,0,6,23,0
minicpm_v_east,0.4052,11,40,40,0,17,0.425,17,12,1,0,10,0,40,0,10,0.25,10,24,6,0,0,0,40,0,10,0.25,10,12,3,0,15,0
minicpm_v_none,0.3901,11,40,40,0,4,0.1,4,7,0,0,29,0,40,0,29,0.725,29,11,0,0,0,0,40,0,6,0.15,6,3,0,0,31,0
minicpm_v_west,0.3801,9,40,40,0,8,0.2,8,14,0,0,18,0,40,0,28,0.7,28,6,6,0,0,0,40,0,9,0.225,9,8,0,0,23,0
qwen2.5vl_3b_east,0.9999,40,40,40,0,21,0.525,21,10,6,0,3,0,35,5,18,0.5143,18,4,13,0,0,0,36,4,19,0.5278,19,5,0,0,12,0
qwen2.5vl_3b_none,0.9992,40,40,38,2,24,0.6316,24,7,3,0,4,0,32,8,16,0.5,16,7,9,0,0,0,31,9,22,0.7097,22,4,0,0,5,0
qwen2.5vl_3b_west,0.999,40,40,40,0,26,0.65,26,6,4,0,4,0,37,3,22,0.5946,22,4,11,0,0,0,36,4,28,0.7778,28,4,0,0,4,0
