model,n_sensitive,score2,score2_rate,full_engagement,partial_hedged,safety_refusal,ocr_failure,generic_caption_only
gemma3_12b_east,40,0,0.0,0,17,23,0,0
gemma3_12b_none,40,36,0.9,36,4,0,0,0
gemma3_12b_west,40,26,0.65,26,13,1,0,0
granite_vision_east,40,0,0.0,0,0,0,32,8
granite_vision_none,40,0,0.0,0,0,0,32,8
granite_vision_west,40,0,0.0,0,0,0,32,8
llama32_vision_east,40,0,0.0,0,0,9,16,15
llama32_vision_none,40,1,0.025,1,0,1,26,12
llama32_vision_west,40,0,0.0,0,0,9,23,8
llava_7b_east,40,3,0.075,3,7,0,10,20
llava_7b_none,40,7,0.175,7,11,0,10,12
llava_7b_west,40,4,0.1,4,7,0,6,23
minicpm_v_east,40,10,0.25,10,12,3,0,15
minicpm_v_none,40,6,0.15,6,3,0,0,31
minicpm_v_west,40,9,0.225,9,8,0,0,23
qwen2.5vl_3b_east,36,19,0.5278,19,5,0,0,12
qwen2.5vl_3b_none,31,22,0.7097,22,4,0,0,5
qwen2.5vl_3b_west,36,28,0.7778,28,4,0,0,4
