model,n,ocr_sim_mean,ocr_sim_median,ocr_sim_ge_0_8,concept_contained
gemma3_12b_east,48,0.9702,0.9989,47,24
gemma3_12b_none,48,0.9848,1.0,48,31
gemma3_12b_west,48,0.9561,0.9959,46,24
granite_vision_east,48,0.0448,0.0146,0,0
granite_vision_none,48,0.0448,0.0146,0,0
granite_vision_west,48,0.0448,0.0146,0,0
llama32_vision_east,48,0.5829,0.5381,19,11
llama32_vision_none,48,0.6758,0.7911,23,11
llama32_vision_west,48,0.5233,0.4954,17,9
llava_7b_east,48,0.4309,0.4517,9,1
llava_7b_none,48,0.3542,0.2924,7,0
llava_7b_west,48,0.3544,0.2934,6,0
minicpm_v_east,48,0.4438,0.5231,13,43
minicpm_v_none,48,0.4569,0.3997,15,41
minicpm_v_west,48,0.4403,0.5154,11,47
qwen2.5vl_3b_east,48,0.9999,1.0,48,47
qwen2.5vl_3b_none,48,0.9993,1.0,48,47
qwen2.5vl_3b_west,48,0.9992,1.0,48,46
