backend,model_origin,base_model,persona,rows,ok_rows,error_rows,mean_elapsed_s
hf,Eastern,cogvlm2,east,48,48,0,18.94
hf,Eastern,cogvlm2,none,48,48,0,18.45
hf,Eastern,cogvlm2,west,48,48,0,19.18
hf,Eastern,deepseek,east,48,48,0,25.86
hf,Eastern,deepseek,none,48,48,0,21.48
hf,Eastern,deepseek,west,48,48,0,19.37
hf,Eastern,glm,east,48,48,0,18.76
hf,Eastern,glm,none,48,48,0,18.82
hf,Eastern,glm,west,48,48,0,18.77
hf,Eastern,internvl,east,48,48,0,6.96
hf,Eastern,internvl,none,48,48,0,6.95
hf,Eastern,internvl,west,48,48,0,7.38
hf,Western,molmo,east,48,48,0,14.53
hf,Western,molmo,none,48,48,0,13.35
hf,Western,molmo,west,48,48,0,14.33
hf,Western,phi,east,48,48,0,7.79
hf,Western,phi,none,48,48,0,7.76
hf,Western,phi,west,48,48,0,9.33
ollama,Eastern,minicpm_v,east,48,48,0,1.43
ollama,Eastern,minicpm_v,none,48,48,0,1.07
ollama,Eastern,minicpm_v,west,48,48,0,1.23
ollama,Eastern,qwen2.5vl_3b,east,48,48,0,1.9
ollama,Eastern,qwen2.5vl_3b,none,48,46,2,5.49
ollama,Eastern,qwen2.5vl_3b,west,48,48,0,1.9
ollama,Western,gemma3_12b,east,48,48,0,6.05
ollama,Western,gemma3_12b,none,48,48,0,8.21
ollama,Western,gemma3_12b,west,48,48,0,8.05
ollama,Western,granite_vision,east,48,48,0,3.92
ollama,Western,granite_vision,none,48,48,0,3.87
ollama,Western,granite_vision,west,48,48,0,3.87
ollama,Western,llama32_vision,east,48,48,0,10.25
ollama,Western,llama32_vision,none,48,48,0,16.13
ollama,Western,llama32_vision,west,48,48,0,21.84
ollama,Western,llava_7b,east,48,48,0,42.05
ollama,Western,llava_7b,none,48,48,0,45.54
ollama,Western,llava_7b,west,48,48,0,44.42
